Instruction Number,Instruction ,Number of Constraints,Constraints
1,Write about two characters struggling to shift their priorities and keep their relationship intact as they age.,7,"1. The story must be set in a small coastal town where the characters have lived their whole lives.
2. Both characters must have had successful careers in different fields—one in science and the other in the arts.
3. Each character must face a unique health issue that influences their priorities.
4. Introduce a supporting character who acts as a catalyst for change in their relationship.
5. The narrative must include flashbacks to their youth, showing how their dreams and aspirations have changed over time.
6. The characters must attempt to learn a new skill together, which they find challenging.
7. Incorporate a significant scene that takes place in a local cafe that holds sentimental value to the characters."
1,Write about two characters struggling to shift their priorities and keep their relationship intact as they age.,15,"1. The story must be set in a small coastal town where the characters have lived their whole lives.
2. Both characters must have had successful careers in different fields—one in science and the other in the arts.
3. Each character must face a unique health issue that influences their priorities.
4. Introduce a supporting character who acts as a catalyst for change in their relationship.
5. The narrative must include flashbacks to their youth, showing how their dreams and aspirations have changed over time.
6. The characters must attempt to learn a new skill together, which they find challenging.
7. Incorporate a significant scene that takes place in a local cafe that holds sentimental value to the characters.
8. The story must include the celebration of their 40th anniversary.
9. Use a third-person omniscient point of view to allow insight into both characters' thoughts and feelings.
10. Include a subplot involving a community project that the characters get involved in despite their personal struggles.
11. The narrative should weave in the seasonal changes of the town to mirror the changes in the characters’ lives.
12. One character must reconsider their legacy and what they wish to leave behind.
13. Introduce a disagreement that escalates to a temporary separation between the characters.
14. Characters must communicate through letters in at least two critical parts of the story.
15. Include the perspective of a younger family member who observes the struggles of the two main characters."
1,Write about two characters struggling to shift their priorities and keep their relationship intact as they age.,23,"1. The story must be set in a small coastal town where the characters have lived their whole lives.
2. Both characters must have had successful careers in different fields—one in science and the other in the arts.
3. Each character must face a unique health issue that influences their priorities.
4. Introduce a supporting character who acts as a catalyst for change in their relationship.
5. The narrative must include flashbacks to their youth, showing how their dreams and aspirations have changed over time.
6. The characters must attempt to learn a new skill together, which they find challenging.
7. Incorporate a significant scene that takes place in a local cafe that holds sentimental value to the characters.
8. The story must include the celebration of their 40th anniversary.
9. Use a third-person omniscient point of view to allow insight into both characters' thoughts and feelings.
10. Include a subplot involving a community project that the characters get involved in despite their personal struggles.
11. The narrative should weave in the seasonal changes of the town to mirror the changes in the characters’ lives.
12. One character must reconsider their legacy and what they wish to leave behind.
13. Introduce a disagreement that escalates to a temporary separation between the characters.
14. Characters must communicate through letters in at least two critical parts of the story.
15. Include the perspective of a younger family member who observes the struggles of the two main characters.
16. The story should use a symbolic object that represents their relationship, appearing repeatedly throughout the tale.
17. Explore the theme of forgiveness in both a personal and communal scope within the story.
18. The conflict resolution must be subtle and realistic, avoiding dramatic reconciliations.
19. Both characters should demonstrate a significant change in their worldview by the end of the story.
20. The story must conclude at a communal event where the town comes together, reflecting the main theme of unity.
21. One of the characters should secretly plan a surprise for the other as part of the reconciliation process.
22. Dialogue in the story must reflect the local dialect and include sayings or colloquialisms specific to the coastal town.
23. Introduce an old rival from the characters’ past who becomes significant in the present storyline."
1,Write about two characters struggling to shift their priorities and keep their relationship intact as they age.,31,"1. The story must be set in a small coastal town where the characters have lived their whole lives.
2. Both characters must have had successful careers in different fields—one in science and the other in the arts.
3. Each character must face a unique health issue that influences their priorities.
4. Introduce a supporting character who acts as a catalyst for change in their relationship.
5. The narrative must include flashbacks to their youth, showing how their dreams and aspirations have changed over time.
6. The characters must attempt to learn a new skill together, which they find challenging.
7. Incorporate a significant scene that takes place in a local cafe that holds sentimental value to the characters.
8. The story must include the celebration of their 40th anniversary.
9. Use a third-person omniscient point of view to allow insight into both characters' thoughts and feelings.
10. Include a subplot involving a community project that the characters get involved in despite their personal struggles.
11. The narrative should weave in the seasonal changes of the town to mirror the changes in the characters’ lives.
12. One character must reconsider their legacy and what they wish to leave behind.
13. Introduce a disagreement that escalates to a temporary separation between the characters.
14. Characters must communicate through letters in at least two critical parts of the story.
15. Include the perspective of a younger family member who observes the struggles of the two main characters.
16. The story should use a symbolic object that represents their relationship, appearing repeatedly throughout the tale.
17. Explore the theme of forgiveness in both a personal and communal scope within the story.
18. The conflict resolution must be subtle and realistic, avoiding dramatic reconciliations.
19. Both characters should demonstrate a significant change in their worldview by the end of the story.
20. The story must conclude at a communal event where the town comes together, reflecting the main theme of unity.
21. One of the characters should secretly plan a surprise for the other as part of the reconciliation process.
22. Dialogue in the story must reflect the local dialect and include sayings or colloquialisms specific to the coastal town.
23. Introduce an old rival from the characters’ past who becomes significant in the present storyline.
24. The story should include at least one scene where weather conditions directly affect the plot.
25. Include a narrative thread involving a lost and rediscovered item of sentimental value.
26. Each character must confront their past mistakes through a direct dialogue with another character.
27. Incorporate at least three scenes that depict routine daily life but hold deeper meanings about the characters' shifts in priorities.
28. Use symbolism through the changing tides of the coast to represent the ups and downs of the relationship.
29. The story must include the use of technology in a way that impacts the relationship.
30. Highlight societal expectations of aging and how they affect both characters.
31. A minor character must provide unexpected wisdom or insight that helps resolve a conflict."
1,Write about two characters struggling to shift their priorities and keep their relationship intact as they age.,39,"1. The story must be set in a small coastal town where the characters have lived their whole lives.
2. Both characters must have had successful careers in different fields—one in science and the other in the arts.
3. Each character must face a unique health issue that influences their priorities.
4. Introduce a supporting character who acts as a catalyst for change in their relationship.
5. The narrative must include flashbacks to their youth, showing how their dreams and aspirations have changed over time.
6. The characters must attempt to learn a new skill together, which they find challenging.
7. Incorporate a significant scene that takes place in a local cafe that holds sentimental value to the characters.
8. The story must include the celebration of their 40th anniversary.
9. Use a third-person omniscient point of view to allow insight into both characters' thoughts and feelings.
10. Include a subplot involving a community project that the characters get involved in despite their personal struggles.
11. The narrative should weave in the seasonal changes of the town to mirror the changes in the characters’ lives.
12. One character must reconsider their legacy and what they wish to leave behind.
13. Introduce a disagreement that escalates to a temporary separation between the characters.
14. Characters must communicate through letters in at least two critical parts of the story.
15. Include the perspective of a younger family member who observes the struggles of the two main characters.
16. The story should use a symbolic object that represents their relationship, appearing repeatedly throughout the tale.
17. Explore the theme of forgiveness in both a personal and communal scope within the story.
18. The conflict resolution must be subtle and realistic, avoiding dramatic reconciliations.
19. Both characters should demonstrate a significant change in their worldview by the end of the story.
20. The story must conclude at a communal event where the town comes together, reflecting the main theme of unity.
21. One of the characters should secretly plan a surprise for the other as part of the reconciliation process.
22. Dialogue in the story must reflect the local dialect and include sayings or colloquialisms specific to the coastal town.
23. Introduce an old rival from the characters’ past who becomes significant in the present storyline.
24. The story should include at least one scene where weather conditions directly affect the plot.
25. Include a narrative thread involving a lost and rediscovered item of sentimental value.
26. Each character must confront their past mistakes through a direct dialogue with another character.
27. Incorporate at least three scenes that depict routine daily life but hold deeper meanings about the characters' shifts in priorities.
28. Use symbolism through the changing tides of the coast to represent the ups and downs of the relationship.
29. The story must include the use of technology in a way that impacts the relationship.
30. Highlight societal expectations of aging and how they affect both characters.
31. A minor character must provide unexpected wisdom or insight that helps resolve a conflict.
32. Feature a pivotal scene that occurs in a place neither character has visited before, symbolizing new beginnings.
33. The story must unfold over the course of a full year to show the progression of seasons and life stages.
34. Address themes of independence versus interdependence in relationships.
35. Each character must face a temptation that challenges their loyalty to each other.
36. Include a scene where both characters witness a natural phenomenon that leads to a turning point in their relationship.
37. Throughout the story, alternate between tense, conflict-driven scenes and peaceful, reflective moments.
38. Introduce an element of competition between the characters that must be resolved.
39. Ensure that every chapter begins with a poetic description of the setting."
2,Write a story about a pair of identical twins who have to learn to live their own lives after spending so much time together as children,7,"1. Each twin must pursue a career in a completely different field—one in the arts, the other in the sciences.
2. They must live in separate cities that are at least 1000 miles apart.
3. The story must include a significant life event that tests their individual identities.
4. One of the twins must adopt a pet that plays a crucial role in their personal development.
5. Introduce a supporting character who mistakes one twin for the other, leading to a pivotal plot twist.
6. The narrative must alternate between the perspectives of each twin in each chapter.
7. Each twin must face a separate but thematically similar ethical dilemma."
2,Write a story about a pair of identical twins who have to learn to live their own lives after spending so much time together as children,15,"1. Each twin must pursue a career in a completely different field—one in the arts, the other in the sciences.
2. They must live in separate cities that are at least 1000 miles apart.
3. The story must include a significant life event that tests their individual identities.
4. One of the twins must adopt a pet that plays a crucial role in their personal development.
5. Introduce a supporting character who mistakes one twin for the other, leading to a pivotal plot twist.
6. The narrative must alternate between the perspectives of each twin in each chapter.
7. Each twin must face a separate but thematically similar ethical dilemma.
8. The story must include flashbacks to their childhood which reveal the roots of their current passions and struggles.
9. Incorporate a subplot involving a long-lost family member reaching out to one of the twins.
10. The twins should only communicate via letters throughout the story, except for one face-to-face meeting at the climax.
11. One of the twins must experience a significant personal loss (e.g., breakup, death of a close friend) while the other experiences a major professional setback.
12. Each twin must have a distinctive hobby that helps them forge a new identity.
13. Include at least three miscommunications caused by their physical similarity impacting their new lives.
14. The story must explore themes of independence, identity, and the bond of siblinghood.
15. Neither twin is allowed to return to their hometown until the resolution of the story."
2,Write a story about a pair of identical twins who have to learn to live their own lives after spending so much time together as children,23,"1. Each twin must pursue a career in a completely different field—one in the arts, the other in the sciences.
2. They must live in separate cities that are at least 1000 miles apart.
3. The story must include a significant life event that tests their individual identities.
4. One of the twins must adopt a pet that plays a crucial role in their personal development.
5. Introduce a supporting character who mistakes one twin for the other, leading to a pivotal plot twist.
6. The narrative must alternate between the perspectives of each twin in each chapter.
7. Each twin must face a separate but thematically similar ethical dilemma.
8. The story must include flashbacks to their childhood which reveal the roots of their current passions and struggles.
9. Incorporate a subplot involving a long-lost family member reaching out to one of the twins.
10. The twins should only communicate via letters throughout the story, except for one face-to-face meeting at the climax.
11. One of the twins must experience a significant personal loss (e.g., breakup, death of a close friend) while the other experiences a major professional setback.
12. Each twin must have a distinctive hobby that helps them forge a new identity.
13. Include at least three miscommunications caused by their physical similarity impacting their new lives.
14. The story must explore themes of independence, identity, and the bond of siblinghood.
15. Neither twin is allowed to return to their hometown until the resolution of the story.
16. The twins should have contrasting romantic relationships that reflect their individual growth.
17. Integrate a seasonal change that metaphorically represents the transformation of each twin.
18. One of the twins should explore therapy sessions, detailing their emotional separation from the other twin.
19. The story must include a third character (friend or foe) whose actions directly or indirectly bring the twins closer or push them further apart in their personal journeys.
20. Include a community crisis in each city that challenges the twins' leadership and personal values.
21. Each twin must write a diary entry that captures their deepest fears and hopes about living independently.
22. The twins were once involved in a joint project as children; revisit this project in their adult life to show contrast.
23. They must each face a fear that they previously overcame together."
2,Write a story about a pair of identical twins who have to learn to live their own lives after spending so much time together as children,31,"1. Each twin must pursue a career in a completely different field—one in the arts, the other in the sciences.
2. They must live in separate cities that are at least 1000 miles apart.
3. The story must include a significant life event that tests their individual identities.
4. One of the twins must adopt a pet that plays a crucial role in their personal development.
5. Introduce a supporting character who mistakes one twin for the other, leading to a pivotal plot twist.
6. The narrative must alternate between the perspectives of each twin in each chapter.
7. Each twin must face a separate but thematically similar ethical dilemma.
8. The story must include flashbacks to their childhood which reveal the roots of their current passions and struggles.
9. Incorporate a subplot involving a long-lost family member reaching out to one of the twins.
10. The twins should only communicate via letters throughout the story, except for one face-to-face meeting at the climax.
11. One of the twins must experience a significant personal loss (e.g., breakup, death of a close friend) while the other experiences a major professional setback.
12. Each twin must have a distinctive hobby that helps them forge a new identity.
13. Include at least three miscommunications caused by their physical similarity impacting their new lives.
14. The story must explore themes of independence, identity, and the bond of siblinghood.
15. Neither twin is allowed to return to their hometown until the resolution of the story.
16. The twins should have contrasting romantic relationships that reflect their individual growth.
17. Integrate a seasonal change that metaphorically represents the transformation of each twin.
18. One of the twins should explore therapy sessions, detailing their emotional separation from the other twin.
19. The story must include a third character (friend or foe) whose actions directly or indirectly bring the twins closer or push them further apart in their personal journeys.
20. Include a community crisis in each city that challenges the twins' leadership and personal values.
21. Each twin must write a diary entry that captures their deepest fears and hopes about living independently.
22. The twins were once involved in a joint project as children; revisit this project in their adult life to show contrast.
23. They must each face a fear that they previously overcame together.
24. Neither twin can achieve complete success in their endeavors until they reconcile their past.
25. Include an artifact from their shared childhood that has a symbolic presence throughout the story.
26. The tone of the story must fluctuate to match the emotional state of the twins at different points in the narrative.
27. Introduce an old family tradition that one twin wants to preserve while the other wants to leave behind.
28. Each twin must encounter a situation where they are mistaken for the other, affecting their career or relationship.
29. Include a secondary character who plays a devil’s advocate to each twin’s choices.
30. The story must subtly incorporate motifs of duality and contrast, such as day/night, sun/moon, light/dark.
31. One twin must achieve a dream they shared as children, while the other decides it is no longer what they want."
2,Write a story about a pair of identical twins who have to learn to live their own lives after spending so much time together as children,39,"1. Each twin must pursue a career in a completely different field—one in the arts, the other in the sciences.
2. They must live in separate cities that are at least 1000 miles apart.
3. The story must include a significant life event that tests their individual identities.
4. One of the twins must adopt a pet that plays a crucial role in their personal development.
5. Introduce a supporting character who mistakes one twin for the other, leading to a pivotal plot twist.
6. The narrative must alternate between the perspectives of each twin in each chapter.
7. Each twin must face a separate but thematically similar ethical dilemma.
8. The story must include flashbacks to their childhood which reveal the roots of their current passions and struggles.
9. Incorporate a subplot involving a long-lost family member reaching out to one of the twins.
10. The twins should only communicate via letters throughout the story, except for one face-to-face meeting at the climax.
11. One of the twins must experience a significant personal loss (e.g., breakup, death of a close friend) while the other experiences a major professional setback.
12. Each twin must have a distinctive hobby that helps them forge a new identity.
13. Include at least three miscommunications caused by their physical similarity impacting their new lives.
14. The story must explore themes of independence, identity, and the bond of siblinghood.
15. Neither twin is allowed to return to their hometown until the resolution of the story.
16. The twins should have contrasting romantic relationships that reflect their individual growth.
17. Integrate a seasonal change that metaphorically represents the transformation of each twin.
18. One of the twins should explore therapy sessions, detailing their emotional separation from the other twin.
19. The story must include a third character (friend or foe) whose actions directly or indirectly bring the twins closer or push them further apart in their personal journeys.
20. Include a community crisis in each city that challenges the twins' leadership and personal values.
21. Each twin must write a diary entry that captures their deepest fears and hopes about living independently.
22. The twins were once involved in a joint project as children; revisit this project in their adult life to show contrast.
23. They must each face a fear that they previously overcame together.
24. Neither twin can achieve complete success in their endeavors until they reconcile their past.
25. Include an artifact from their shared childhood that has a symbolic presence throughout the story.
26. The tone of the story must fluctuate to match the emotional state of the twins at different points in the narrative.
27. Introduce an old family tradition that one twin wants to preserve while the other wants to leave behind.
28. Each twin must encounter a situation where they are mistaken for the other, affecting their career or relationship.
29. Include a secondary character who plays a devil’s advocate to each twin’s choices.
30. The story must subtly incorporate motifs of duality and contrast, such as day/night, sun/moon, light/dark.
31. One twin must achieve a dream they shared as children, while the other decides it is no longer what they want.
32. Their separate lives must converge at a family event that functions as a thematic and plot climax.
33. The story must reference at least three literary or cultural texts that explore themes of identity or duality.
34. Each twin must face a significant triumph and a significant tragedy.
35. The twins must each adopt a different philosophy or belief system that guides their decisions.
36. Their separate cities should serve as almost another character in the story, with vivid descriptions influencing the plot.
37. The story should include at least one scene where nature plays a pivotal role in the twins' emotional or physical journey.
38. There must be at least two instances where each twin has to deal with the repercussions of the other's actions.
39. The story must include an unreliable narrator element which keeps readers questioning the true independence of the twins."
