Instruction Number,Instruction ,Number of Constraints,Constraints
1,"Write a story in less than 500 words about an introverted protagonist with uncontrollable intuition, who experiences others' emotions intensely, as she navigates a challenging encounter during the holiday season.",7,"1. The protagonist suffers physical discomfort when overwhelmed by emotions (nausea, shaking, etc.).
2. The protagonist is challenged by the need to engage in public spaces.
3. The unknown man realizes that the protagonist can feel his emotions.
4. The protagonist uses humor and sarcasm to cope with her situation.
5. The protagonist is an introverted character.
6. The story includes communication via text messages.
7. The story is set in a Starbucks on Michigan in Chicago a week before Christmas."
1,"Write a story in less than 500 words about an introverted protagonist with uncontrollable intuition, who experiences others' emotions intensely, as she navigates a challenging encounter during the holiday season.",15,"1. The protagonist suffers physical discomfort when overwhelmed by emotions (nausea, shaking, etc.).
2. The protagonist is challenged by the need to engage in public spaces.
3. The unknown man realizes that the protagonist can feel his emotions.
4. The protagonist uses humor and sarcasm to cope with her situation.
5. The protagonist is an introverted character.
6. The story includes communication via text messages.
7. The story is set in a Starbucks on Michigan in Chicago a week before Christmas.
8. The protagonist is forced to leave the meeting early due to being overwhelmed.
9. The protagonist desires to live a more normal life despite her unique condition.
10. There exists a vaccine for controlling intuition.
11. The protagonist devises coping strategies for managing her anxiety in public places.
12. Scientists are working to find a solution for people who can't use the intuition vaccine.
13. Tiffany threatens the protagonist to meet her.
14. The protagonist struggles with accepting her condition.
15. The protagonist must grapple with the thoughts and feelings of others in the Starbucks."
1,"Write a story in less than 500 words about an introverted protagonist with uncontrollable intuition, who experiences others' emotions intensely, as she navigates a challenging encounter during the holiday season.",23,"1. The protagonist suffers physical discomfort when overwhelmed by emotions (nausea, shaking, etc.).
2. The protagonist is challenged by the need to engage in public spaces.
3. The unknown man realizes that the protagonist can feel his emotions.
4. The protagonist uses humor and sarcasm to cope with her situation.
5. The protagonist is an introverted character.
6. The story includes communication via text messages.
7. The story is set in a Starbucks on Michigan in Chicago a week before Christmas.
8. The protagonist is forced to leave the meeting early due to being overwhelmed.
9. The protagonist desires to live a more normal life despite her unique condition.
10. There exists a vaccine for controlling intuition.
11. The protagonist devises coping strategies for managing her anxiety in public places.
12. Scientists are working to find a solution for people who can't use the intuition vaccine.
13. Tiffany threatens the protagonist to meet her.
14. The protagonist struggles with accepting her condition.
15. The protagonist must grapple with the thoughts and feelings of others in the Starbucks.
16. The man looks at the protagonist with both desire and love.
17. The protagonist is physically attractive.
18. The protagonist encounters an unknown man who causes powerful and unique emotions.
19. There is societal disapproval for people whose intuitions cannot be controlled by the vaccine.
20. The protagonist has a heightened intuition.
21. The setting should be during the holiday season.
22. The protagonist feels other people's emotions intensely.
23. The protagonist struggles with disentangling their own feelings from others'."
1,"Write a story in less than 500 words about an introverted protagonist with uncontrollable intuition, who experiences others' emotions intensely, as she navigates a challenging encounter during the holiday season.",31,"1. The protagonist suffers physical discomfort when overwhelmed by emotions (nausea, shaking, etc.).
2. The protagonist is challenged by the need to engage in public spaces.
3. The unknown man realizes that the protagonist can feel his emotions.
4. The protagonist uses humor and sarcasm to cope with her situation.
5. The protagonist is an introverted character.
6. The story includes communication via text messages.
7. The story is set in a Starbucks on Michigan in Chicago a week before Christmas.
8. The protagonist is forced to leave the meeting early due to being overwhelmed.
9. The protagonist desires to live a more normal life despite her unique condition.
10. There exists a vaccine for controlling intuition.
11. The protagonist devises coping strategies for managing her anxiety in public places.
12. Scientists are working to find a solution for people who can't use the intuition vaccine.
13. Tiffany threatens the protagonist to meet her.
14. The protagonist struggles with accepting her condition.
15. The protagonist must grapple with the thoughts and feelings of others in the Starbucks.
16. The man looks at the protagonist with both desire and love.
17. The protagonist is physically attractive.
18. The protagonist encounters an unknown man who causes powerful and unique emotions.
19. There is societal disapproval for people whose intuitions cannot be controlled by the vaccine.
20. The protagonist has a heightened intuition.
21. The setting should be during the holiday season.
22. The protagonist feels other people's emotions intensely.
23. The protagonist struggles with disentangling their own feelings from others'.
24. Tiffany is a strong-willed and passionate character.
25. The protagonist reluctantly acknowledges being a potential ""crazy cat lady"".
26. Puberty is identified as a critical time for the progression of intuition powers.
27. The protagonist and Tiffany were inseparable until puberty.
28. The protagonist has personal hygiene items (travel mouthwash) handy.
29. This vaccine doesn’t work for the protagonist due to a genetic mutation.
30. Characters should express understanding of the protagonist's predicament.
31. The protagonist's primary means of communication with the outside world is through the internet."
1,"Write a story in less than 500 words about an introverted protagonist with uncontrollable intuition, who experiences others' emotions intensely, as she navigates a challenging encounter during the holiday season.",39,"1. The protagonist suffers physical discomfort when overwhelmed by emotions (nausea, shaking, etc.).
2. The protagonist is challenged by the need to engage in public spaces.
3. The unknown man realizes that the protagonist can feel his emotions.
4. The protagonist uses humor and sarcasm to cope with her situation.
5. The protagonist is an introverted character.
6. The story includes communication via text messages.
7. The story is set in a Starbucks on Michigan in Chicago a week before Christmas.
8. The protagonist is forced to leave the meeting early due to being overwhelmed.
9. The protagonist desires to live a more normal life despite her unique condition.
10. There exists a vaccine for controlling intuition.
11. The protagonist devises coping strategies for managing her anxiety in public places.
12. Scientists are working to find a solution for people who can't use the intuition vaccine.
13. Tiffany threatens the protagonist to meet her.
14. The protagonist struggles with accepting her condition.
15. The protagonist must grapple with the thoughts and feelings of others in the Starbucks.
16. The man looks at the protagonist with both desire and love.
17. The protagonist is physically attractive.
18. The protagonist encounters an unknown man who causes powerful and unique emotions.
19. There is societal disapproval for people whose intuitions cannot be controlled by the vaccine.
20. The protagonist has a heightened intuition.
21. The setting should be during the holiday season.
22. The protagonist feels other people's emotions intensely.
23. The protagonist struggles with disentangling their own feelings from others'.
24. Tiffany is a strong-willed and passionate character.
25. The protagonist reluctantly acknowledges being a potential ""crazy cat lady"".
26. Puberty is identified as a critical time for the progression of intuition powers.
27. The protagonist and Tiffany were inseparable until puberty.
28. The protagonist has personal hygiene items (travel mouthwash) handy.
29. This vaccine doesn’t work for the protagonist due to a genetic mutation.
30. Characters should express understanding of the protagonist's predicament.
31. The protagonist's primary means of communication with the outside world is through the internet.
32. The protagonist experiences other's thoughts as if they were their own.
33. The protagonist’s intuition is uncontrollable due to a genetic mutation.
34. The protagonist's coping mechanisms do not always successfully block out other people's emotions.
35. The protagonist uses strategies to block out the feelings of others, such as counting letters on the menu board.
36. The protagonist finds solace in the idea of drinking coffee.
37. Include a hint of romance in the story.
38. There is societal pressure to control intuition with the vaccine.
39. The protagonist prefers isolation to manage their heightened intuition."
2,Write a story in less than 500 words about a quantum physicist struggling with severe sleep deprivation while conducting a controversial experiment in a locked room.,7,"1. Show physical impacts of sleep deprivation like dizziness in the narrative.
2. The story should include repeating patterns, like checking the door and scanning the room.
3. Utilize the built environment and facilities in the room to reflect Wesley's state of mind.
4. Frequent references must be made to a digital clock.
5. The physiological effects of sleep deprivation on Wesley should be depicted.
6. The narrative should detail Wesley's initial excitement about his job, followed by disillusionment.
7. Wesley should experience illusions or hallucinations."
2,Write a story in less than 500 words about a quantum physicist struggling with severe sleep deprivation while conducting a controversial experiment in a locked room.,15,"1. Show physical impacts of sleep deprivation like dizziness in the narrative.
2. The story should include repeating patterns, like checking the door and scanning the room.
3. Utilize the built environment and facilities in the room to reflect Wesley's state of mind.
4. Frequent references must be made to a digital clock.
5. The physiological effects of sleep deprivation on Wesley should be depicted.
6. The narrative should detail Wesley's initial excitement about his job, followed by disillusionment.
7. Wesley should experience illusions or hallucinations.
8. Utilize literal darkness in the room to symbolize Wesley's mental state.
9. The narrative structure should have detailed, slow pacing to depict prolonged isolation and insomnia.
10. Wesley should have a moment of losing his sense of place in the room.
11. Include a moment where Wesley hopes to be able to open the locked door.
12. Some test subjects in the story should plead for drugs to induce sleep.
13. The story must depict the significant change in the room's ambiance with the transition to morning.
14. The plot should involve elements of quantum physics.
15. There must be a moment of relief for Wesley at the end when he is allowed to leave."
2,Write a story in less than 500 words about a quantum physicist struggling with severe sleep deprivation while conducting a controversial experiment in a locked room.,23,"1. Show physical impacts of sleep deprivation like dizziness in the narrative.
2. The story should include repeating patterns, like checking the door and scanning the room.
3. Utilize the built environment and facilities in the room to reflect Wesley's state of mind.
4. Frequent references must be made to a digital clock.
5. The physiological effects of sleep deprivation on Wesley should be depicted.
6. The narrative should detail Wesley's initial excitement about his job, followed by disillusionment.
7. Wesley should experience illusions or hallucinations.
8. Utilize literal darkness in the room to symbolize Wesley's mental state.
9. The narrative structure should have detailed, slow pacing to depict prolonged isolation and insomnia.
10. Wesley should have a moment of losing his sense of place in the room.
11. Include a moment where Wesley hopes to be able to open the locked door.
12. Some test subjects in the story should plead for drugs to induce sleep.
13. The story must depict the significant change in the room's ambiance with the transition to morning.
14. The plot should involve elements of quantum physics.
15. There must be a moment of relief for Wesley at the end when he is allowed to leave.
16. There should be a hint of Wesley developing the same symptoms as his test subjects.
17. The plot must establish a connection between lack of sleep and disturbances in reality.
18. Test subjects of the research should deteriorate drastically during the narrative.
19. Wesley needs to check the door lock four times throughout the story.
20. The narrative should depict Wesley's fear of the consequences of his insomnia being discovered.
21. The tone must be filled with suspense leading to an abrupt, unresolved ending.
22. Wesley should struggle to stay awake throughout the story.
23. The story should delve into Wesley's perception of time."
2,Write a story in less than 500 words about a quantum physicist struggling with severe sleep deprivation while conducting a controversial experiment in a locked room.,31,"1. Show physical impacts of sleep deprivation like dizziness in the narrative.
2. The story should include repeating patterns, like checking the door and scanning the room.
3. Utilize the built environment and facilities in the room to reflect Wesley's state of mind.
4. Frequent references must be made to a digital clock.
5. The physiological effects of sleep deprivation on Wesley should be depicted.
6. The narrative should detail Wesley's initial excitement about his job, followed by disillusionment.
7. Wesley should experience illusions or hallucinations.
8. Utilize literal darkness in the room to symbolize Wesley's mental state.
9. The narrative structure should have detailed, slow pacing to depict prolonged isolation and insomnia.
10. Wesley should have a moment of losing his sense of place in the room.
11. Include a moment where Wesley hopes to be able to open the locked door.
12. Some test subjects in the story should plead for drugs to induce sleep.
13. The story must depict the significant change in the room's ambiance with the transition to morning.
14. The plot should involve elements of quantum physics.
15. There must be a moment of relief for Wesley at the end when he is allowed to leave.
16. There should be a hint of Wesley developing the same symptoms as his test subjects.
17. The plot must establish a connection between lack of sleep and disturbances in reality.
18. Test subjects of the research should deteriorate drastically during the narrative.
19. Wesley needs to check the door lock four times throughout the story.
20. The narrative should depict Wesley's fear of the consequences of his insomnia being discovered.
21. The tone must be filled with suspense leading to an abrupt, unresolved ending.
22. Wesley should struggle to stay awake throughout the story.
23. The story should delve into Wesley's perception of time.
24. Describe nightmares as a side-effect of Wesley's work.
25. The protagonist has a PhD in quantum physics.
26. Layer the story with a sense of dread and unease.
27. It should be evident that the research is hacked by Wesley's moral dilemma regarding his test subjects.
28. There should be a sense of desperation for sleep associated with Wesley.
29. The story should take place within a locked room.
30. The story should involve the development of increasingly frequent time and gravity distortions.
31. The language style should be introspective, emphasizing on Wesley's thoughts."
2,Write a story in less than 500 words about a quantum physicist struggling with severe sleep deprivation while conducting a controversial experiment in a locked room.,39,"1. Show physical impacts of sleep deprivation like dizziness in the narrative.
2. The story should include repeating patterns, like checking the door and scanning the room.
3. Utilize the built environment and facilities in the room to reflect Wesley's state of mind.
4. Frequent references must be made to a digital clock.
5. The physiological effects of sleep deprivation on Wesley should be depicted.
6. The narrative should detail Wesley's initial excitement about his job, followed by disillusionment.
7. Wesley should experience illusions or hallucinations.
8. Utilize literal darkness in the room to symbolize Wesley's mental state.
9. The narrative structure should have detailed, slow pacing to depict prolonged isolation and insomnia.
10. Wesley should have a moment of losing his sense of place in the room.
11. Include a moment where Wesley hopes to be able to open the locked door.
12. Some test subjects in the story should plead for drugs to induce sleep.
13. The story must depict the significant change in the room's ambiance with the transition to morning.
14. The plot should involve elements of quantum physics.
15. There must be a moment of relief for Wesley at the end when he is allowed to leave.
16. There should be a hint of Wesley developing the same symptoms as his test subjects.
17. The plot must establish a connection between lack of sleep and disturbances in reality.
18. Test subjects of the research should deteriorate drastically during the narrative.
19. Wesley needs to check the door lock four times throughout the story.
20. The narrative should depict Wesley's fear of the consequences of his insomnia being discovered.
21. The tone must be filled with suspense leading to an abrupt, unresolved ending.
22. Wesley should struggle to stay awake throughout the story.
23. The story should delve into Wesley's perception of time.
24. Describe nightmares as a side-effect of Wesley's work.
25. The protagonist has a PhD in quantum physics.
26. Layer the story with a sense of dread and unease.
27. It should be evident that the research is hacked by Wesley's moral dilemma regarding his test subjects.
28. There should be a sense of desperation for sleep associated with Wesley.
29. The story should take place within a locked room.
30. The story should involve the development of increasingly frequent time and gravity distortions.
31. The language style should be introspective, emphasizing on Wesley's thoughts.
32. Wesley's dreams about possible achievements resulting from his research should be included.
33. Wesley should exhibit fear or dread of his own research.
34. Show a transformation of Wesley's sleep from normal, to troubled, to near non-existent.
35. The protagonist must be named Wesley.
36. The narrative should refer to famous scientists such as Einstein, Edison, Tesla, and Graham-Bell.
37. Wesley should experience alterations in his perception of time, due to sleep deprivation.
38. The setting involves an institute where sleep is strictly regulated at eight hours per day.
39. The style must mix scientific jargon with emotional distress."
